Nombre de la serie,Género,Elenco,Año,Temporadas,Pais
Captain Tsubasa,Anime,Akari Hibino,1983,2,Japón
Death Note,Anime,Mamoru Miyano,2006,2,Japón
Naruto,Anime,Junko Takeuchi,2007,17,Japón
Pokemon,Anime,Ikue Otani,1997,23,Japón
Apache: La Vida de Carlos Tevez,Biografica,Carlos Tevez,2019,1,Argentina
FightWorld,Biografica,Frank Grillo,2018,1,Estados Unidos
Formula 1: Drive to Survive,Biografica,,2019,3,Estados Unidos
Freud,Biografica,Robert Finster,2020,1,Alemania
Inside Bill's Brain: Decoding Bill Gates,Biografica,Bill Gates,2019,1,Estados Unidos
Luis Miguel: La Serie,Biografica,Diego Boneta,2018,2,México
"Pablo Escobar, el Patrón del Mal",Biografica,Andrés Parra,2012,1,Colombia
Selena: La Serie,Biografica,Chriatian Serratos,2020,2,México
The Last Dance,Biografica,Michael Jordan,2020,1,Estados Unidos
The Legend of Bruce Lee,Biografica,Chan Kwok-Kwan,2008,1,China
Sunderland Till I Die,Biográfico,,2018,2,Reino Unido
Alf,Comedia,Paul Fusco,1986,4,Estados Unidos
All That,Comedia,Kel Mitchell,1994,10,Estados Unidos
Archer,Comedia animada,H. Jon Benjamin,2009,11,Estados Unidos
Arrested Development,Comedia,Jason Bateman,2003,5,Estados Unidos
Big Mouth,Comedia animada,Nick Kroll,2017,4,Estados Unidos
Black-Ish,Comedia,Anthony Anderson,2014,7,Estados Unidos
Bojack Horseman,Comedia animada,Will Arnett,2014,6,Estados Unidos
Brooklyn 99,Comedia,Andy Samberg,2013,7,Estados Unidos
Club de Cuervos,Comedia,Luis Gerardo Méndez,2015,4,México
Community,Comedia,Alison Brie,2009,6,Estados Unidos
El Chavo del 8,Comedia,Chespirito,1971,4,México
Emily in Paris,Comedia,Lily Collins,2020,1,Estados Unidos
Everybody Hates Chris,Comedia,Tyler James Williams,2005,4,Estados Unidos
F is for Family,Comedia animada,Bill Burr,2015,4,Estados Unidos
Friends,Comedia,Jennifer Aniston,1994,10,Estados Unidos
Full House,Comedia,Candace Cameron Bure,1987,8,Estados Unidos
Glee,Comedia,Matthew Morrison,2009,6,Estados Unidos
How I Met Your Mother,Comedia,Josh Radnor,2005,9,Estados Unidos
Kenan and Kel,Comedia,Kenan Thompson,1996,4,Estados Unidos
La Casa de las Flores,Comedia,Cecilia Suárez,2018,3,México
Lucifer,Comedia,Tom Ellis,2016,5,Estados Unidos
Mad About You,Comedia,Helen Hunt,1992,1,Estados Unidos
Malcom in the Middle,Comedia,Frankie Muniz,2000,7,Estados Unidos
Modern Family,Comedia,Sofía Vergara,2009,11,Estados Unidos
Orange is the New Black,Comedia,Taylor Schilling,2013,7,Estados Unidos
Paradise PD,Comedia animada,David Herman,2018,3,Estados Unidos
Rick and Morty,Comedia animada,Justin Roiland,2013,5,Estados Unidos
Seinfeld,Comedia,Jerry Seinfeld,1989,9,Estados Unidos
Spaced,Comedia,Jessica Hynes,1999,2,Reino Unido
That 70´s Show,Comedia,Mila Kunis,1998,8,Estados Unidos
The Big Bang Theory,Comedia,Jim Parsons,2007,12,Estados Unidos
The Fresh Prince of Bel-Air,Comedia,Will Smith,1990,6,Estados Unidos
The Office,Comedia,Steve Carrell,2005,9,Estados Unidos
The Simpsons,Comedia animada,Dan Castellaneta,1989,32,Estados Unidos
Total Drama,Comedia animada,Christian Potenza,2007,5,Canadá
Two and a Half Men,Comedia,Charlie Sheen,2003,12,Estados Unidos
31 Minutos,Comedia animada,Álvaro Díaz,2003,4,Chile
Family Guy,Comedia animada,Seth McFarlane,1999,2,Estados Unidos
Hoops,Comedia animada,Jake Johnson,2020,1,Estados Unidos
Breathe,Crimen,Amit Sadh,2018,1,India
Criminal Minds,Crimen,Thomas Gibson,2005,15,Estados Unidos
CSI: New York,Crimen,Gary Sinise,2004,9,Estados Unidos
Gotham,Crimen,Benjamin McKenzie,2014,5,Estados Unidos
CSI: Miami,Crimen,David Caruso,2002,10,Estados Unidos
Narcos,Crimen,Wagner Moura,2015,3,Colombia
Peaky Blinders,Crimen,Cillian Murphy,2013,5,Reino Unido
Public Enemy,Crimen,Angelo Bison,2016,2,Bélgica
Sherlock,Crimen,Benedict Cumberbatch,2010,4,Reino Unido
The Sopranos,Crimen,James Gondolfini,1999,6,Estados Unidos
The Wire,Crimen,Dominic West,2002,5,Estados Unidos
21 Thunder,Drama,Stephanie Bennett,2017,1,Canada
Atlanta,Drama,Donald Glover,2016,2,Estados Unidos
Black Mirror,Drama,,2011,5,Reino Unido
Breaking Bad,Drama,Bryan Cranston,2008,5,Estados Unidos
Anne with an E,Drama,Amybeth McNulty,2017,3,Canada
Cobra Kai,Drama,William Zabka,2018,3,Estados Unidos
Dawson´s Creek,Drama,James Van Der Beek,1998,6,Estados Unidos
Downton Abbey,Drama,Michelle Dockery,2010,6,Reino Unido
Dynasty,Drama,Elizabeth Gillies,2017,4,Estados Unidos
Elite,Drama,Ester Expósito,2018,3,España
Estocolmo,Drama,Luciano Cáceres,2016,1,Argentina
Game of Thrones,Drama,Emilia Clarke,2011,8,Estados Unidos
La Casa de Papel,Drama,Úrsula Corberó,2017,2,España
Mad Men,Drama,Jon Hamm,2007,7,Estados Unidos
Nobel,Drama,Askel Hennie,2016,1,Noruega
Prison Break,Drama,Wentworth Miller,2005,5,Estados Unidos
Queen´s Gambit,Drama,Anna Taylor-Joy,2020,1,Estados Unidos
Ragnarok,Drama,Theresa Frostad,2020,1,Noruega
Rebelde Way,Drama,Camila Bordonaba,2002,2,Argentina
Riverdale,Drama,Cole Sprouse,2017,5,Estados Unidos
Romulus,Drama,Andrea Arcangeli,2020,1,Italia
Sons of Anarchy,Drama,Charlie Hunnam,2008,7,Estados Unidos
The Crown,Drama,Claire Foy,2016,4,Reino Unido
"Yo Soy Betty, la Fea",Drama,Ana María Orozco,1999,1,Colombia
The 100,Fantasia,Bob Morley,2014,7,Estados Unidos
Once upon a time,Fantasía,Jennifer Morrison,2011,7,Estados Unidos
Stranger Things,Fantasía,Millie Bobby Brown,2016,3,Estados Unidos
The Witcher,Fantasía,Henry Cavill,2019,1,Estados Unidos
Art Attack,Infantil,Neil Buchanan,1990,10,Reino Unido
Big Time Rush,Infantil,Kendall Schmidt,2009,4,Estados Unidos
Caillou,Infantil,Claudia-Laurie Corbeil,1997,5,Canadá
Mickey Mouse Clubhouse,Infantil,Wayne Allwine,2006,5,Estados Unidos
Dora the Explorer,Infantil,Caitlin Sanchez,1999,10,Estados Unidos
Drake and Josh,Infantil,Drake Bell,2004,4,Estados Unidos
Gravity Falls,Infantil,Jason Ritter,2012,2,Estados Unidos
Hannah Montana,Infantil,Miley Cyrus,2006,4,Estados Unidos
ICarly,Infantil,Miranda Cosgrove,2007,5,Estados Unidos
Johnny Test,Infantil,James Arnold Taylor,2005,14,Estados Unidos
Justice League: Unlimited,Infantil,George Newbern,2004,3,Estados Unidos
Kim Possible,Infantil,Christy Carlson,2002,4,Estados Unidos
Miraculous: Tales of Ladybug & Cat Noir,Infantil,Cristina Vee,2015,4,Francia
Paw Patrol,Infantil,Christian Distefano,2013,8,Canadá
Phineas and Ferb,Infantil,Vincent Martella,2007,4,Estados Unidos
The Looney Tunes Show,Infantil,Jeff Bergman,2011,2,Estados Unidos
SpongeBob SquarePants,Infantil,Tom Kenny,1999,12,Estados Unidos
Tom and Jerry,Infantil,Samuel Vincent,2006,3,Estados Unidos
Wizards of Weverly Place,Infantil,Selena Gomez,2007,4,Estados Unidos
Young Justice,Infantil,Jesse McCartney,2010,3,Estados Unidos
Zoey 101,Infantil,Jamie Lynn Spears,2005,4,Estados Unidos
Dr House,Medicina,Hugh Laurie,2004,8,Estados Unidos
Grey´s Anatomy,Medicina,Ellen Pompeo,2005,17,Estados Unidos
The Good Doctor,Medicina,Freddie Highmore,2017,4,Estados Unidos
Arrow,Superheroes,Stephen Amell,2012,8,Estados Unidos
Black Lightning,Superheroes,Cress Williams,2018,4,Estados Unidos
Cloak and Dagger,Superheroes,Olivia Holt,2018,2,Estados Unidos
Falcon and the Winter Soldier,Superheroes,Anthony Mackie,2021,1,Estados Unidos
Jessica Jones,Superheroes,Krysten Ritter,2015,3,Estados Unidos
Legends of Tomorrow,Superheroes,Caity Lotz,2016,6,Estados Unidos
Smallville,Superheroes,Tom Welling,2001,10,Estados Unidos
Supergirl,Superheroes,Melissa Benoist,2015,6,Estados Unidos
Swamp Thing,Superheroes,Derek Mears,2019,1,Estados Unidos
The Flash,Superheroes,Grant Gustin,2014,7,Estados Unidos
The Mandalorian,Superheroes,Pedro Pascal,2019,2,Estados Unidos
Titans,Superheroes,Brenton Thwaites,2018,2,Estados Unidos
Umbrella Academy,Superheroes,Elliot Page,2019,2,Estados Unidos
Wandavision,Superheroes,Elizabeth Olsen,2021,1,Estados Unidos
3%,Terror,Bianca Comparato,2016,4,Brasil
American Horror Story,Terror,Evan Peters,2011,9,Estados Unidos
Chilling Adventures of Sabrina,Terror,Kiernan Shipka,2018,4,Estados Unidos
Drácula,Terror,Claes Bang,2020,1,Reino Unido
Kalifat,Terror,Gizem Erdogan,2020,1,Suecia
Lost,Terror,Evangeline Lilly,2004,6,Estados Unidos
Marianne,Terror,Délia Espinat Dief,2019,1,Francia
Mindhunter,Terror,Jonathan Groff,2017,2,Estados Unidos
Scream Queens,Terror,Emma Roberts,2015,2,Estados Unidos
Teen Wolf,Terror,Tyler Posey,2011,6,Estados Unidos
The Order,Terror,Sarah Grey,2019,2,Estados Unidos
The Walking Dead,Terror,Norman Reedus,2010,10,Estados Unidos
Trapped,Terror,Ólafur Darri Ólafsson,2015,2,Islandia
You,Terror,Penn Badgley,2018,2,Estados Unidos